,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,striped,material,cashmere
b'10',b'463662536',b'79.5',b'Scottish wool tie in vintage pine tartan',b'284',b'J.Crew',b'http://bim.shopstyle.com/pim/55/b5/55b59cd018249f0c117f72367ed9ea5b_best.jpg',"b'Sometimes you want to wear a tie even when you don\'t have to. This one is made from Scottish wool with a classic tartan pattern. Seeing how tartans originated in Scotland, we can say that this is as traditional as it get <ul> <li>2 1/2"" at widest point.</li> <li>Scottish wool.</li> <li>Made in the United Kingdom.</li> </ul>'",b'J.Crew',b'unknown',b'_wool'
b'50',b'296146625',b'72.5',b'Extra-long Italian wool tie in medium grey',b'284',b'J.Crew',b'http://bim.shopstyle.com/pim/5d/ee/5dee69e53c0c927c23644b752e5655b8_best.jpg',"b'Sometimes you want to wear a tie even when you don\'t have to. This one is made from Italian wool (it\'s the same wool we use in our men\'s suiting collection) and instantly elevates just about anything else you\'re wearing. Fun fact: It\'s hand-finished in NYC\'s Long Island City. <ul> <li>2 1/2"" at widest point.</li> <li>For the taller guy, this tie is 62"" long\xe2\x80\x94that\'s 5"" longer than our standard ties.</li> <li>Italian wool.</li> <li>USA.</li> <li>Online only.</li> </ul>'",b'J.Crew',b'unknown',b'_wool'
b'64',b'207904900',b'69.5',b'Italian wool tie in medium grey',b'284',b'J.Crew',b'http://bim.shopstyle.com/pim/5d/ee/5dee69e53c0c927c23644b752e5655b8_best.jpg',"b'Sometimes you want to wear a tie even when you don\'t have to. This one is made from Italian wool (it\'s the same wool we use in our men\'s suiting collection) and instantly elevates just about anything else you\'re wearing. Fun fact: It\'s hand-finished in NYC\'s Long Island City. <ul> <li>2 1/2"" at widest point.</li> <li>Italian wool.</li> <li>USA.</li> </ul>'",b'J.Crew',b'unknown',b'_wool'
b'85',b'457235371',b'215.0',b'Givenchy Red & Grey Plaid Tie',b'1227',b'Givenchy',b'http://bim.shopstyle.com/pim/d2/05/d20520692ab2418b2c1914a3d5b0d3dc_best.jpg',"b'Silk blend tie in burgundy red and charcoal grey. Plaid pattern throughout. Feed-through loop at underside. Tonal logo embroidered at outer tip. Tonal stitching. Approx. 56"" length, 2.5"" width. 55% silk, 45% wool. Made in Italy'",b'SSENSE',b'unknown',b'_wool'
b'97',b'456999571',b'171.45',b'Brunello Cucinelli woven tie',b'8296',b'Brunello Cucinelli',b'http://bim.shopstyle.com/pim/43/81/4381f75cd27679cfab3dce8017188fb8_best.jpg',b'Brown silk wool blend woven tie from Brunello Cucinelli featuring a pointed tip.',b'farfetch.com',b'unknown',b'_wool'
b'111',b'459411516',b'69.5',b'English wool tie in plum stripe',b'284',b'J.Crew',b'http://bim.shopstyle.com/pim/36/81/3681f03ecbd2d6e1a25b77751e2e887f_best.jpg',"b'Sometimes you want to wear a tie even when you don\'t have to. This one is made from English wool with a classic stripe (there\'s a reason stripes never go out of style). Fun fact: It\'s hand-finished in NYC\'s Long Island City. <ul> <li>2 1/2"" at widest point.</li> <li>English wool/silk.</li> <li>USA.</li> </ul>'",b'J.Crew',b'_striped',b'_wool'
b'118',b'459785132',b'230.0',b'Givenchy Black Monogram Tie',b'1227',b'Givenchy',b'http://bim.shopstyle.com/pim/44/39/443912879f4354f340c1dbf5a1ea2c71_best.jpg',"b'Slim wool-silk tie in black. Tonal embroidered monogram logo at tip. Feed-through loop at back. Tonal stitching. 65% silk, 35% wool. Made in Italy'",b'SSENSE',b'unknown',b'_wool'
b'120',b'463464305',b'15.0',b'The Tie Bar Wool & Silk Solid Tie',b'30134',b'The Tie Bar',b'http://bim.shopstyle.com/pim/7c/d1/7cd1c6f89edc722b6fc2cb57dd9250fe_best.jpg',"b'A rich texture marks a slim tie cut from a blend of wool and silk. <ul> <li>2 1/2"" width; 58"" length.</li> <li>70% wool, 30% silk.</li> <li>Dry clean.</li> <li>By The Tie Bar; imported.</li> <li>Men\'s Furnishings.</li> </ul>'",b'Nordstrom',b'unknown',b'_wool'
b'133',b'460654242',b'91.08',b'Polo Ralph Lauren classic tartan tie',b'462',b'Polo Ralph Lauren',b'http://bim.shopstyle.com/pim/94/e7/94e76ba832047d27c380980d5aedda8e_best.jpg',b'Multicolour wool classic tartan tie from Polo Ralph Lauren.',b'farfetch.com',b'unknown',b'_wool'
b'146',b'433540718',b'55.0',b'Cotton bow tie in burgundy',b'284',b'J.Crew',b'http://bim.shopstyle.com/pim/06/c3/06c3cb9160a58187ec3cfe60b3bfd029_best.jpg',"b'A bow tie is a classic way to set yourself apart from the crowd. Plus, it won\'t dangle in your soup. <ul> <li>2 1/8"" at widest point.</li> <li>Cotton/wool.</li> <li>USA.</li> </ul>'",b'J.Crew',b'unknown',b'_wool'
